<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20190522;150000;207.0100000;208.2700000;207.0000000;207.6400000;1895930
GAZP;60;20190522;160000;207.5800000;208.4300000;207.4800000;208.0300000;3049710
GAZP;60;20190522;170000;208.0800000;208.9400000;207.9200000;208.6000000;3068560
GAZP;60;20190522;180000;208.5900000;208.7700000;207.8200000;208.5300000;3837510
GAZP;60;20190522;190000;208.5200000;208.9600000;208.0900000;208.1000000;3994610
GAZP;60;20190523;110000;207.1000000;207.8500000;205.8400000;207.3700000;7781460
GAZP;60;20190523;120000;207.3900000;208.2500000;206.7400000;207.5200000;3330260
GAZP;60;20190523;130000;207.5800000;208.4000000;207.5100000;208.3400000;2652080
GAZP;60;20190523;140000;208.3800000;209.4400000;208.2800000;208.8800000;3965840
GAZP;60;20190523;150000;208.8800000;212.1800000;208.7500000;210.8100000;10050810
GAZP;60;20190523;160000;210.8500000;211.3900000;208.5900000;208.8800000;8534950
GAZP;60;20190523;170000;208.8200000;209.3900000;208.0900000;209.0500000;5863830
GAZP;60;20190523;180000;209.1100000;210.3200000;208.6100000;210.1300000;6140280
GAZP;60;20190523;190000;210.1500000;210.8600000;208.3000000;208.8600000;6104150
GAZP;60;20190524;110000;209.4900000;210.2000000;208.4000000;208.9000000;3470390
GAZP;60;20190524;120000;208.9000000;209.2000000;208.4900000;208.9300000;1422550
GAZP;60;20190524;130000;208.9300000;209.1000000;207.8500000;208.1500000;1752810
GAZP;60;20190524;140000;208.1700000;208.9000000;208.0400000;208.2600000;1643540
GAZP;60;20190524;150000;208.2800000;208.4200000;207.0300000;207.1000000;3488500
GAZP;60;20190524;160000;207.1300000;207.5300000;206.5700000;207.2700000;2631670
GAZP;60;20190524;170000;207.3200000;207.3600000;206.4000000;206.4000000;2305490
GAZP;60;20190524;180000;206.4000000;206.7900000;204.6600000;205.1100000;6033090
GAZP;60;20190524;190000;205.0800000;205.5100000;203.7600000;204.5000000;6229570
GAZP;60;20190527;110000;204.2500000;205.6900000;200.8400000;204.1300000;10124180
GAZP;60;20190527;120000;204.1300000;205.7500000;204.0000000;205.4500000;4548600
GAZP;60;20190527;130000;205.4100000;206.4000000;204.7500000;205.4800000;3824940
GAZP;60;20190527;140000;205.4700000;205.9000000;204.8300000;205.6200000;1327100
GAZP;60;20190527;150000;205.6000000;206.4000000;205.1100000;205.2900000;1227070
GAZP;60;20190527;160000;205.3000000;205.5100000;204.1300000;204.4600000;1516200
GAZP;60;20190527;170000;204.4400000;205.3900000;204.2500000;205.0200000;1180240
GAZP;60;20190527;180000;205.0500000;205.8200000;204.6700000;205.6800000;1479850
GAZP;60;20190527;190000;205.6800000;206.6000000;205.5300000;206.2000000;2879850
GAZP;60;20190528;110000;206.0000000;206.0000000;204.2500000;205.0600000;6292200
GAZP;60;20190528;120000;205.0000000;205.2500000;204.3000000;205.1400000;2031790
GAZP;60;20190528;130000;205.1400000;205.4800000;204.6400000;205.0400000;1612340
GAZP;60;20190528;140000;205.0300000;205.3500000;204.6600000;205.1000000;1304020
GAZP;60;20190528;150000;205.0900000;205.2500000;204.5500000;204.8300000;1154690
GAZP;60;20190528;160000;204.8300000;205.1600000;203.1200000;203.4800000;4298780
GAZP;60;20190528;170000;203.4500000;203.7800000;202.6600000;202.8700000;4316640
GAZP;60;20190528;180000;202.7700000;203.0000000;201.5000000;201.5700000;4725760
GAZP;60;20190528;190000;201.5100000;203.1300000;201.0000000;203.1300000;35380030
GAZP;60;20190529;110000;202.1000000;204.2500000;201.1100000;203.0900000;7742940
GAZP;60;20190529;120000;203.0800000;203.9000000;202.8200000;203.6600000;3246650
GAZP;60;20190529;130000;203.6600000;204.1000000;203.2600000;203.8600000;1840960
GAZP;60;20190529;140000;203.9000000;206.1000000;203.6100000;205.9500000;5498190
GAZP;60;20190529;150000;205.9300000;206.0300000;205.1100000;205.6900000;3151950
GAZP;60;20190529;160000;205.6800000;207.6900000;205.4000000;206.7200000;5818210
GAZP;60;20190529;170000;206.6700000;207.1300000;205.0300000;205.0900000;5996240
GAZP;60;20190529;180000;205.0800000;206.5700000;205.0500000;206.1800000;3258950
GAZP;60;20190529;190000;206.1900000;207.5000000;205.8000000;207.1400000;6331200
GAZP;60;20190530;110000;207.9000000;212.2500000;207.5700000;211.0800000;15650500
GAZP;60;20190530;120000;211.0500000;212.4500000;210.7700000;211.8100000;5649750
GAZP;60;20190530;130000;211.7200000;211.8700000;211.0600000;211.2500000;1701130
GAZP;60;20190530;140000;211.2000000;211.3400000;210.4200000;210.8000000;2315110
GAZP;60;20190530;150000;210.8200000;210.9700000;210.3600000;210.6000000;2082410
GAZP;60;20190530;160000;210.6000000;211.5000000;210.4500000;211.5000000;2823010
GAZP;60;20190530;170000;211.5000000;213.7600000;211.1000000;213.3100000;7604630
GAZP;60;20190530;180000;213.3100000;216.4500000;211.0000000;212.5300000;32783630
GAZP;60;20190530;190000;212.5300000;213.2300000;211.6200000;213.1000000;6555460
GAZP;60;20190531;110000;212.0000000;212.4500000;210.3600000;211.9300000;7025510
GAZP;60;20190531;120000;211.9900000;213.5000000;211.2100000;213.2400000;4241130
GAZP;60;20190531;130000;213.2400000;213.3100000;211.6000000;211.7800000;2665240
GAZP;60;20190531;140000;211.7400000;211.8900000;210.0500000;211.3800000;3651920
GAZP;60;20190531;150000;211.4400000;212.4900000;210.9800000;212.0100000;2076680
GAZP;60;20190531;160000;212.0100000;212.8400000;211.5900000;212.1100000;2103140
GAZP;60;20190531;170000;212.1900000;212.4800000;211.2400000;212.4800000;3094710
GAZP;60;20190531;180000;212.4700000;214.2300000;211.7200000;214.0000000;7698790
GAZP;60;20190531;190000;214.0000000;215.2700000;213.6600000;215.1000000;11025980
GAZP;60;20190603;110000;214.4000000;216.2500000;213.5000000;216.1800000;8335990
GAZP;60;20190603;120000;216.1300000;229.5900000;216.1200000;228.2400000;37489310
GAZP;60;20190603;130000;228.2800000;241.2000000;227.1100000;241.0000000;52691790
